Timestamp,Age,Primary streaming service,Hours per day,Fav genre,BPM,Anxiety,Depression,Insomnia,OCD,Music effects
8/28/2022 13:08:24,42.0,I do not use a streaming service.,0.0,Rock,,9.0,0.0,10.0,0.0,No effect
8/28/2022 13:09:53,23.0,Spotify,7.0,Folk,55.0,6.0,4.0,2.0,3.0,Improve
8/28/2022 13:18:19,23.0,I do not use a streaming service.,1.0,Video game music,85.0,7.0,0.0,0.0,2.0,Improve
8/28/2022 13:22:36,19.0,YouTube Music,1.0,K pop,160.0,10.0,1.0,0.0,0.0,Improve
8/28/2022 13:22:53,22.0,Pandora,1.0,Rock,108.0,8.0,7.0,0.0,5.0,Improve
8/28/2022 13:34:00,15.0,Other streaming service,2.0,Rock,156.0,3.0,2.0,6.0,7.0,Improve
8/28/2022 13:34:27,25.0,Spotify,2.0,Metal,170.0,5.0,5.0,3.0,1.0,No effect
8/28/2022 13:42:20,32.0,Spotify,5.0,Rock,91.0,10.0,10.0,3.0,1.0,Worsen
8/28/2022 13:43:06,36.0,Spotify,6.0,Metal,174.0,5.0,4.0,10.0,2.0,Improve
8/28/2022 13:46:03,24.0,Spotify,3.0,Rock,130.0,0.0,0.0,8.0,0.0,No effect
8/28/2022 13:48:11,29.0,Spotify,4.0,Hip hop,140.0,8.0,8.0,5.0,10.0,Improve
8/28/2022 13:55:45,41.0,Apple Music,3.0,Metal,130.0,10.0,7.0,8.0,0.0,Improve
8/28/2022 13:57:47,36.0,I do not use a streaming service.,2.0,Rock,127.0,7.0,3.0,1.0,1.0,Improve
8/28/2022 13:59:16,19.0,YouTube Music,3.0,Rock,160.0,8.0,7.0,4.0,0.0,Improve
8/28/2022 14:00:18,31.0,Spotify,2.0,Rock,,10.0,2.0,0.0,5.0,No effect
8/28/2022 14:01:08,16.0,Spotify,4.0,Rock,,9.0,8.0,1.0,2.0,Improve
8/28/2022 14:02:12,26.0,Spotify,2.0,Hip hop,165.0,6.0,3.0,1.0,1.0,Improve
8/28/2022 14:04:09,22.0,Apple Music,0.5,Hip hop,113.0,7.0,7.0,0.0,1.0,No effect
8/28/2022 14:04:20,16.0,Spotify,5.0,Jazz,167.0,7.0,7.0,8.0,4.0,Improve
8/28/2022 14:07:29,17.0,Spotify,5.0,Metal,95.0,4.0,1.0,0.0,0.0,Improve
8/28/2022 14:08:57,19.0,Spotify,10.0,R&B,110.0,7.0,2.0,1.0,5.0,Improve
8/28/2022 14:10:04,18.0,YouTube Music,2.0,EDM,150.0,9.0,0.0,5.0,10.0,Improve
8/28/2022 14:10:17,18.0,YouTube Music,4.0,Hip hop,93.0,2.0,7.0,1.0,1.0,Improve
8/28/2022 14:12:55,19.0,Spotify,5.0,Rock,90.0,10.0,8.0,7.0,0.0,Improve
8/28/2022 14:14:48,19.0,Spotify,3.0,Jazz,118.0,3.0,0.0,0.0,0.0,Improve
8/28/2022 14:18:22,22.0,Spotify,2.0,K pop,126.0,7.0,8.0,5.0,1.0,No effect
8/28/2022 14:24:10,16.0,Spotify,2.5,Rock,103.0,2.0,1.0,0.0,0.0,Improve
8/28/2022 14:25:08,19.0,Spotify,3.0,R&B,77.0,5.0,4.0,0.0,1.0,Improve
8/28/2022 14:26:12,37.0,Spotify,1.0,Rock,115.0,9.0,10.0,6.0,10.0,No effect
8/28/2022 14:29:29,14.0,Spotify,7.0,Jazz,110.0,2.0,0.0,0.0,0.0,Improve
8/28/2022 14:30:34,33.0,I do not use a streaming service.,1.0,Metal,,5.0,2.0,5.0,1.0,Improve
8/28/2022 14:38:19,26.0,Spotify,1.0,R&B,113.0,3.0,2.0,0.0,0.0,No effect
8/28/2022 14:41:04,32.0,Spotify,3.0,Hip hop,157.0,2.0,0.0,7.0,0.0,No effect
8/28/2022 14:45:44,30.0,Spotify,5.0,Metal,160.0,7.0,6.0,6.0,2.0,No effect
8/28/2022 14:47:08,43.0,I do not use a streaming service.,6.0,Video game music,109.0,5.0,4.0,8.0,3.0,No effect
8/28/2022 14:49:18,24.0,Spotify,4.0,Classical,175.0,4.0,6.0,5.0,3.0,Improve
8/28/2022 14:51:02,36.0,YouTube Music,1.0,Rock,110.0,6.0,2.0,3.0,1.0,Improve
8/28/2022 14:58:17,19.0,YouTube Music,4.0,Video game music,162.0,8.0,2.0,1.0,6.0,Improve
8/28/2022 14:59:05,22.0,Spotify,10.0,Metal,189.0,9.0,6.0,0.0,6.0,Improve
8/28/2022 15:02:14,20.0,Spotify,3.0,EDM,121.0,0.0,3.0,7.0,0.0,Improve
8/28/2022 15:03:51,31.0,Spotify,2.0,Rock,200.0,8.0,9.0,6.0,2.0,Improve
8/28/2022 15:03:56,19.0,Spotify,4.0,Metal,105.0,4.0,1.0,1.0,1.0,Improve
8/28/2022 15:07:16,15.0,Spotify,8.0,Rock,193.0,8.0,7.0,5.0,0.0,Improve
8/28/2022 15:09:31,18.0,Spotify,2.0,Metal,149.0,3.0,4.0,6.0,1.0,Improve
8/28/2022 15:22:00,25.0,I do not use a streaming service.,0.5,Classical,140.0,1.0,1.0,3.0,1.0,Improve
8/28/2022 15:32:38,17.0,Apple Music,5.0,Metal,134.0,10.0,8.0,6.0,7.0,No effect
8/28/2022 15:41:56,28.0,YouTube Music,1.0,Rock,120.0,6.0,6.0,2.0,0.0,No effect
8/28/2022 16:04:58,20.0,Spotify,3.0,Rock,170.0,6.0,7.0,0.0,0.0,Improve
8/28/2022 16:07:28,21.0,YouTube Music,2.0,Metal,107.0,8.0,4.0,10.0,0.0,No effect
8/28/2022 16:07:51,41.0,Spotify,3.0,Pop,113.0,9.0,7.0,6.0,2.0,No effect
8/28/2022 16:08:12,20.0,Spotify,2.0,Pop,126.0,7.0,4.0,6.0,5.0,Improve
8/28/2022 16:13:28,34.0,Other streaming service,4.0,Metal,161.0,6.0,7.0,0.0,0.0,No effect
8/28/2022 16:15:08,21.0,YouTube Music,3.0,Metal,,10.0,0.0,10.0,10.0,Improve
8/28/2022 16:15:08,23.0,Spotify,2.0,Metal,100.0,6.0,3.0,0.0,1.0,Improve
8/28/2022 16:15:39,16.0,Spotify,3.0,Pop,140.0,7.0,5.0,5.0,3.0,Improve
8/28/2022 16:15:58,19.0,YouTube Music,4.0,Pop,156.0,7.0,10.0,5.0,0.0,Improve
8/28/2022 16:23:43,22.0,Spotify,2.0,Rock,98.0,8.0,6.0,0.0,0.0,Improve
8/28/2022 16:27:00,19.0,Spotify,8.0,K pop,100.0,4.0,3.0,0.0,0.0,Improve
8/28/2022 16:30:17,23.0,Spotify,4.0,Hip hop,78.0,7.0,6.0,7.0,5.0,Improve
8/28/2022 16:30:36,23.0,Spotify,2.0,Metal,117.0,7.0,3.0,2.0,3.0,Improve
8/28/2022 16:32:40,22.0,Spotify,1.0,EDM,128.0,2.0,7.0,5.0,0.0,Improve
8/28/2022 16:34:03,17.0,Spotify,3.0,Rock,130.0,7.0,8.0,6.0,5.0,Improve
8/28/2022 16:37:00,28.0,Spotify,0.5,Folk,130.0,4.0,7.0,1.0,0.0,Improve
8/28/2022 16:37:10,23.0,Spotify,2.0,Rock,,7.0,8.0,5.0,1.0,No effect
8/28/2022 16:53:26,19.0,Apple Music,3.0,Rock,126.0,5.0,2.0,8.0,6.0,Improve
8/28/2022 16:58:35,17.0,Spotify,2.0,Hip hop,122.0,10.0,7.0,4.0,2.0,Improve
8/28/2022 17:14:08,21.0,YouTube Music,1.0,Rock,179.0,6.0,5.0,0.0,0.0,No effect
8/28/2022 17:14:32,29.0,Other streaming service,5.0,Jazz,200.0,7.0,2.0,3.0,1.0,Improve
8/28/2022 17:15:18,22.0,Spotify,10.0,EDM,128.0,4.0,7.0,7.0,3.0,Improve
8/28/2022 17:15:27,18.0,Spotify,4.0,Pop,130.0,4.0,5.0,6.0,5.0,Improve
8/28/2022 17:19:10,13.0,Spotify,2.0,Rock,120.0,7.0,10.0,5.0,6.0,Worsen
8/28/2022 17:27:12,24.0,Spotify,1.0,Metal,86.0,6.0,4.0,5.0,0.0,Improve
8/28/2022 17:32:18,35.0,Spotify,6.0,Rock,166.0,4.0,1.0,3.0,1.0,No effect
8/28/2022 17:33:12,29.0,YouTube Music,1.0,Video game music,110.0,6.0,6.0,1.0,2.0,Improve
8/28/2022 17:37:42,28.0,Spotify,6.0,Rock,144.0,10.0,8.0,7.0,1.0,Improve
8/28/2022 17:40:15,32.0,Spotify,7.0,Pop,120.0,10.0,8.0,2.0,8.0,Improve
8/28/2022 17:41:15,32.0,Other streaming service,1.0,EDM,120.0,3.0,6.0,2.0,0.0,No effect
8/28/2022 17:43:22,21.0,Spotify,3.0,Rock,160.0,8.0,9.0,2.0,0.0,Improve
8/28/2022 17:54:30,18.0,Spotify,2.0,Video game music,101.0,8.0,3.0,8.0,7.0,Improve
8/28/2022 17:56:27,19.0,Spotify,3.0,Classical,122.0,3.0,3.0,1.0,2.0,Improve
8/28/2022 18:02:14,18.0,Apple Music,2.0,Pop,,6.0,5.0,2.0,0.0,Improve
8/28/2022 18:03:27,16.0,YouTube Music,3.0,Pop,,0.0,0.0,4.0,0.0,No effect
8/28/2022 18:03:50,25.0,Spotify,1.5,Pop,61.0,6.0,5.0,0.0,2.0,Improve
